Community,number_families,%family_children_under18,number_persons_household,number_persons_family,%moved_last_5yrs,%married_couple_family,%single_parent_family,%single_person,%non_family,%seniors_live_alone
South Side Slopes,1705,43,2.62,3.21,23,51,20,26,3,28
South Versailles,127,45,2.76,3.12,20,66,15,16,1,24
Spring Garden,587,45,2.53,3.21,31,45,22,31,2,35
Spring Hill-City View,1284,48,2.76,3.29,28,55,19,23,2,25
Springdale Borough,1260,39,2.55,3.08,30,61,13,24,3,27
Springdale Township,546,46,2.74,3.22,28,69,10,21,1,19
Squirrel Hill North,2379,41,2.44,2.97,58,52,9,27,12,26
Squirrel Hill South,4069,37,2.23,2.88,43,50,10,34,6,32
St. Clair,855,86,3.51,3.69,33,17,74,8,1,31
Stanton Heights,1595,36,2.7,2.99,24,72,12,15,1,18
Stowe,2640,38,2.58,3.07,28,54,18,25,2,27
Strip District,89,39,2.29,3.24,9,21,28,43,8,35
Summer Hill,443,42,2.88,3.28,23,70,10,18,2,21
Swisshelm Park,484,37,2.72,3.17,19,68,10,20,1,25
Swissvale,3151,38,2.44,3.03,33,52,17,28,3,25
Tarentum,1706,45,2.53,3.2,32,52,14,32,2,39
Terrace Village,1018,60,2.22,3.09,33,15,40,43,2,63
Thornburg,145,45,3.29,3.48,22,84,7,8,1,8
Troy Hill,491,34,2.43,3.09,25,52,15,31,2,32
Turtle Creek,1949,40,2.47,3.12,36,54,13,29,2,35
Upper Hill,872,31,2.51,2.99,30,41,26,28,6,20
Upper Lawrenceville,1290,40,2.68,3.31,26,52,19,27,2,29
Upper St. Clair,5316,58,3.35,3.49,46,90,5,5,1,12
Verona,870,45,2.61,3.17,42,58,14,25,3,27
Versailles,626,34,2.41,2.96,27,56,14,27,2,30
Wall,283,41,2.65,3.13,22,56,20,23,1,24
West Deer,3097,48,2.98,3.3,29,76,9,14,1,23
West Elizabeth,232,46,2.76,3.16,27,65,15,19,2,27
West End,92,60,2.43,3.46,28,32,24,40,4,38
West Homestead,900,40,2.61,3.1,28,62,14,22,2,25
West Mifflin,7677,42,2.79,3.16,21,69,14,25,1,21
West Oakland,994,60,2.51,3.31,50,19,38,36,7,42
West View,2143,42,2.6,3.14,35,59,13,25,2,30
Westwood,1049,43,2.57,3.1,24,61,12,24,3,25
Whitaker,468,41,2.66,3.13,23,63,14,22,1,22
Whitehall,4426,40,2.53,3.04,35,64,9,25,1,25
White Oak,2783,38,2.67,3.08,29,69,10,20,1,24
Wilkins,2386,40,2.61,3.09,22,66,9,22,2,33
Wilkinsburg,6052,42,2.23,2.98,44,40,17,37,5,35
Wilmerding,650,35,2.23,2.98,33,44,16,37,3,40
Windgap,520,28,2.75,3.11,20,64,17,17,2,18
